yyyymm,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
189811,5.32,0.1983,0.3467,,,,,,,,,0.002156,0.037274,0.038505,0.065169,0.571964,,,,,,,,0.000746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189812,5.65,0.2000,0.3500,,,,,,,,,0.002075,0.035398,0.037594,0.061947,0.571429,,,,,,,,0.000830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189901,6.08,0.2008,0.3608,,,,,,,,,0.001875,0.033026,0.035540,0.059342,0.556541,,,,,,,,0.001711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189902,6.31,0.2017,0.3717,,,,,,,,,0.001780,0.031965,0.033174,0.058906,0.542642,,,,,,,,0.000895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189903,6.40,0.2025,0.3825,,,,,,,,,0.001890,0.031641,0.032092,0.059766,0.529412,,,,,,,,0.001291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189904,6.48,0.2033,0.3933,,,,,,,,,0.002488,0.031373,0.031766,0.060694,0.516908,,,,,,,,0.001256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189905,6.21,0.2042,0.4042,,,,,,,,,0.002363,0.032882,0.031512,0.065089,0.505195,,,,,,,,0.005032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189906,6.07,0.2050,0.4150,,,,,,,,,0.002296,0.033773,0.033011,0.068369,0.493976,,,,,,,,0.001547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189907,6.28,0.2058,0.4258,,,,,,,,,0.002082,0.032771,0.033904,0.067803,0.483326,,,,,,,,0.000867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189908,6.44,0.2067,0.4367,,,,,,,,,0.002340,0.032096,0.032914,0.067811,0.473323,,,,,,,,0.000507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189909,6.37,0.2075,0.4475,,,,,,,,,0.002850,0.032575,0.032220,0.070251,0.463687,,,,,,,,0.001900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189910,6.34,0.2083,0.4583,,,,,,,,,0.003285,0.032855,0.032700,0.072287,0.454506,,,,,,,,0.001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189911,6.46,0.2092,0.4692,,,,,,,,,0.003469,0.032384,0.032997,0.072632,0.445865,,,,,,,,0.000919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189912,6.02,0.2100,0.4800,,,,,,,,,0.003639,0.034884,0.032508,0.079734,0.437500,,,,,,,,0.009885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190001,6.10,0.2175,0.4800,,,,,,,,,0.003979,0.035656,0.036130,0.078689,0.453125,,,,,,,,0.002432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190002,6.21,0.2250,0.4800,,,,,,,,,0.003278,0.036232,0.036885,0.077295,0.468750,,,,,,,,0.000838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190003,6.26,0.2325,0.4800,,,,,,,,,0.002886,0.037141,0.037440,0.076677,0.484375,,,,,,,,0.001222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190004,6.34,0.2400,0.4800,,,,,,,,,0.003241,0.037855,0.038339,0.075710,0.500000,,,,,,,,0.001425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190005,6.04,0.2475,0.4800,,,,,,,,,0.002776,0.040977,0.039038,0.079470,0.515625,,,,,,,,0.001691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190006,5.86,0.2550,0.4800,,,,,,,,,0.002370,0.043515,0.042219,0.081911,0.531250,,,,,,,,0.001571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190007,5.86,0.2625,0.4800,,,,,,,,,0.002355,0.044795,0.044795,0.081911,0.546875,,,,,,,,0.001287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190008,5.94,0.2700,0.4800,,,,,,,,,0.002613,0.045455,0.046075,0.080808,0.562500,,,,,,,,0.000305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190009,5.80,0.2775,0.4800,,,,,,,,,0.002731,0.047845,0.046717,0.082759,0.578125,,,,,,,,0.001446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190010,6.01,0.2850,0.4800,,,,,,,,,0.002842,0.047421,0.049138,0.079867,0.593750,,,,,,,,0.001255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190011,6.48,0.2925,0.4800,,,,,,,,,0.003366,0.045139,0.048669,0.074074,0.609375,,,,,,,,0.002458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190012,6.87,0.3000,0.4800,,,,,,,,,0.002886,0.043668,0.046296,0.069869,0.625000,,,,,,,,0.001228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190101,7.07,0.3017,0.4817,,,,,,,,,0.003145,0.042673,0.043916,0.068133,0.626323,,,,,,,,0.002529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
